Date	rate_real	sp500_ret	con_growth
1890	1.028390402	-0.082418936	0.979194991
1891	1.128511862	0.260760096	1.04788791
1892	0.964169308	-0.015044426	1.026467186
1893	1.250995388	-0.060927198	0.985344407
1894	1.078120801	0.077293749	0.951976712
1895	1.016173572	0.034420896	1.104031209
1896	1.088705691	0.060751983	0.978794105
1897	1.004845891	0.164793706	1.059312317
1898	1.020914967	0.268759448	0.998714623
1899	0.884163791	-0.112218676	1.098706769
1900	1.07223799	0.238029839	0.991811078
1901	1.017866565	0.165009786	1.101346272
1902	0.955138131	-0.012653944	0.988367212
1903	1.103505396	-0.130825526	1.040540303
1904	1.019957853	0.278987688	0.994120933
1905	1.0417	0.209964413	1.036421499
1906	1.009336659	-0.034284312	1.089274318
1907	1.085642122	-0.22069199	1.000669322
1908	1.019589768	0.336950053	0.918929379
1909	0.936833113	0.049495229	1.087647139
1910	1.128567582	0.036006858	0.997407183
1911	1.050826321	0.045289231	1.03203313
1912	0.972585124	-0.000508314	1.010188114
1913	1.03537	-0.067419355	1.012876479
1914	1.036039604	-0.065497948	0.968850744
1915	1.006600962	0.267174002	0.968588176
1916	0.921244444	-0.034893414	1.07502588
1917	0.871232143	-0.310120914	0.966041225
1918	0.899224242	-0.00912033	0.996007099
1919	0.902455959	0.019372298	1.031091245
1920	1.089942105	-0.123407045	1.029159254
1921	1.207905325	0.227040838	1.044337117
1922	1.052025	0.29671396	1.022620446
1923	1.01926474	0.021289862	1.07227347
1924	1.0434	0.260475651	1.053750163
1925	1.00388324	0.210384303	0.956374127
1926	1.066635429	0.139293055	1.067365878
1927	1.054653179	0.381459753	1.008418286
1928	1.058638596	0.483782188	1.010127922
1929	1.0601	-0.08769107	1.043470629
1930	1.120103774	-0.159834178	0.936540526
1931	1.138906993	-0.365430564	0.961818623
1932	1.145773643	0.013701317	0.905436998
1933	0.991540909	0.513463265	0.972540979
1934	0.980391176	-0.105843286	1.063898553
1935	0.992898551	0.514445801	1.054122173
1936	0.98606383	0.302356507	1.094137023
1937	1.001695775	-0.316388953	1.030658415
1938	1.023211429	0.166742453	0.9762419
1939	1.012834532	0.041035971	1.047083445
1940	0.99133617	-0.100743816	1.043326968
1941	0.902849045	-0.17937634	1.061148152
1942	0.934846746	0.111047794	0.966639015
1943	0.977966092	0.199400795	1.014479869
1944	0.984566292	0.165609444	1.016794905
1945	0.985357143	0.354295815	1.050213296
1946	0.852945116	-0.252138451	1.110466002
1947	0.916335443	-0.065391135	0.999089491
1948	1.00083125	0.084718476	1.004684682
1949	1.037412766	0.198138298	1.009935389
1950	0.937409449	0.243096242	1.046434829
1951	0.978810566	0.156876874	0.998819822
1952	1.020050752	0.136266151	1.014119181
1953	1.014359851	0.016420492	1.030382552
1954	1.025625468	0.46968587	1.002584366
1955	1.014301119	0.281436567	1.054131561
1956	1.002184058	0.037434963	1.010827385
1957	1.002285315	-0.08849548	1.00646096
1958	1.011256552	0.375940896	0.991341453
1959	1.026778157	0.065212135	1.038073484
1960	1.025303356	0.0448952	1.006893803
1961	1.022239333	0.182452556	1.004067063
1962	1.020296053	-0.040018517	1.033503255
1963	1.018252427	0.190532613	1.026332067
1964	1.030891346	0.148042964	1.045410666
1965	1.024890566	0.094146825	1.049965875
1966	1.019146505	-0.095579872	1.044723488
1967	1.018356305	0.119156036	1.018637581
1968	1.016965449	0.059356143	1.046931954
1969	1.017613757	-0.137299617	1.026974601
1970	1.036270854	0.016213278	1.011406669
1971	1.023179562	0.101780926	1.025167788
1972	1.009361972	0.135424649	1.049929345
1973	0.986656223	-0.231970226	1.039075661
1974	0.993089827	-0.291228002	0.983324343
1975	1.004892806	0.298388136	1.013115609
1976	1.004601709	0.058363556	1.044936686
1977	0.9854208	-0.14415644	1.031959249
1978	0.986273792	0.062405957	1.03294668
1979	0.973406684	0.02589489	1.013049253
1980	0.995929425	0.122191777	0.985758096
1981	1.085239661	-0.14027363	1.004198572
1982	1.10498773	0.242591271	1.004410195
1983	1.049694406	0.15408568	1.047611937
1984	1.073185687	0.039889211	1.043890298
1985	1.042967609	0.212087531	1.04263427
1986	1.057659712	0.291440338	1.031149851
1987	1.021175454	-0.057860743	1.024132207
1988	1.028306441	0.125755906	1.031112895
1989	1.038855495	0.169061589	1.018509127
1990	1.026298811	-0.060090129	1.008973932
1991	1.042102245	0.282413799	0.988477411
1992	1.006309327	0.041830561	1.019100232
1993	1.008929138	0.088191117	1.020091014
1994	1.015034597	-0.016091217	1.024930137
1995	1.036232837	0.314407862	1.014922819
1996	1.025580893	0.233756717	1.022912428
1997	1.04143552	0.25775462	1.02458544
1998	1.039433232	0.291502969	1.040261801
1999	1.025025652	0.124170658	1.042694889
2000	1.027742319	-0.08581051	1.039234247
2001	1.034484077	-0.144302095	1.016678601
2002	0.99271519	-0.22047371	1.01677911
2003	0.99267851	0.259352607	1.018679132
2004	0.985629156	0.02975325	1.025331051
2005	0.994467322	0.058980448	1.024168632
2006	1.031783851	0.110144204	1.019272641
2007	1.00968375	-0.053392551	1.016571244
2008	1.03438123	-0.351499422	0.988384956
2009	0.984305018	0.290082387	0.981145727
